District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Nirmal,2021-11,162.9,20.28543859649123,32.01052631578948,50.94350877192982,93.82736842105263,0.0,0.0
Nirmal,2021-12,2.8,15.288455008488963,30.409337860780983,40.2679117147708,94.14363327674023,0.02088285229202037,7.181154499151103
Nirmal,2022-01,561.2,15.295925297113751,28.99269949066214,47.31290322580645,94.46621392190153,0.035653650254668934,7.657385398981324
Nirmal,2022-02,3.5999999999999996,11.214285714285714,36.70357142857143,13.310714285714287,100.0,0.0,64.85714285714286
Nirmal,2022-03,21.8,20.869269949066215,37.12190152801358,26.014261460101867,79.86383701188456,0.02071307300509338,7.723259762308999
Nirmal,2022-04,53.9,25.113333333333333,40.25526315789474,26.146315789473682,75.5461403508772,0.07491228070175437,9.13561403508772
Nirmal,2022-05,562.3,27.189303904923598,40.521901528013586,29.026994906621393,71.57809847198642,0.12207130730050934,11.142105263157895
Nirmal,2022-06,3318.3,25.966666666666665,37.05736842105263,47.14912280701754,85.58350877192983,0.11033868092691622,11.048841354723708
Nirmal,2022-07,19506.4,23.599320882852293,30.537181663837014,79.58624787775892,99.14142614601019,0.3566666666666667,10.085087719298246
Nirmal,2022-08,3003.3,24.424448217317487,32.64261460101868,71.0949066213922,98.139558573854,0.1463587921847247,9.406927175843695
Nirmal,2022-09,6040.2,23.999824561403507,32.780175438596494,73.71350877192982,99.22140350877194,0.07666666666666666,8.347407407407408
Nizamabad,2019-01,85.1,15.040991345397323,30.41038552321007,35.25483870967742,89.70574350904799,0.04232887490165224,6.079779701022816
Nizamabad,2019-02,97.3,18.43649825783972,33.70217770034843,31.71637630662021,83.02073170731708,0.029616724738675958,6.087020905923344
Nizamabad,2019-03,5.6,21.72816679779701,37.11974822974036,25.589771833202203,71.53398898505114,0.06105428796223446,6.744610542879622
Nizamabad,2019-04,95.6,25.62170731707317,40.763821138211384,19.828861788617886,60.022032520325205,0.05439024390243903,8.589756097560976
Nizamabad,2019-05,119.6,28.547757671125098,42.85837922895358,14.192761605035406,42.261683713611326,0.09488591660110149,9.762077104642014
Nizamabad,2019-06,2930.7,27.62310344827586,38.940000000000005,33.79735632183908,70.35494252873563,0.7726436781609196,10.90632183908046
Nizamabad,2019-07,8876.6,24.713459399332592,32.66607341490545,62.7146829810901,91.05695216907675,0.8279199110122357,9.989321468298108
Nizamabad,2019-08,9623.8,23.968854282536153,30.742491657397107,76.2563959955506,96.13715239154617,0.6402669632925473,8.61523915461624
Nizamabad,2019-09,10731.2,23.356999603646454,30.80935196195006,77.48428260007927,97.16635354736425,0.19298454221165282,6.510225921521998
Nizamabad,2019-10,4544.4,22.523444568038563,31.6850964034112,67.32188542825361,96.3844382647386,0.02135706340378198,4.506117908787542
Nizamabad,2019-11,432.9,18.83816091954023,31.37954022988506,50.45850574712644,95.94747126436782,-0.004022988505747126,3.8377011494252877
Nizamabad,2019-12,14.7,17.54507786429366,29.183240637745644,49.85909158324064,92.85149425287356,0.009182530795072788,4.56976483762598
Nizamabad,2020-01,526.7,17.749499443826473,29.36173526140156,50.5440489432703,92.15928809788653,5.786206896551724,0.0
Nizamabad,2020-02,23.5,18.218906064209275,31.502021403091558,40.48870392390012,87.58561236623068,5.860404280618312,0.0
Nizamabad,2020-03,311.5,21.563515016685205,34.934149054505006,36.150389321468296,85.41468298109011,5.879421579532814,0.0
Nizamabad,2020-04,260.9,24.02103448275862,38.65977011494253,23.37022988505747,71.24712643678161,6.73367816091954,
Nizamabad,2020-05,347.9,27.65806451612903,40.81423804226919,21.009788654060067,58.124249165739705,8.3734149054505,
Nizamabad,2020-06,4760.7,25.115862068965516,34.67080459770115,53.884942528735635,88.30781609195402,9.18344827586207,0.25068965517241376
Nizamabad,2020-07,5470.5,24.335426399703373,32.4309028550241,70.72295884315906,95.09271412680756,7.454282536151279,0.203559510567297
Nizamabad,2020-08,10243.3,23.762623285131625,30.042324805339266,78.96771041898405,95.95364664441973,7.6115684093437155,0.6419354838709678
